item_id,order_id,sku,quantity,unit_price,line_total
IT-5214,ORD-2075,AB-1015,3,349.00,1047.00
IT-5249,ORD-2087,AB-1011,4,199.00,796.00
IT-5174,ORD-2062,AB-1010,4,249.00,996.00
IT-5004,ORD-2002,AB-1020,5,999.00,4995.00
IT-5062,ORD-2024,AB-1003,2,1299.00,2698.00
IT-5085,ORD-2033,AB-1001,3,599.00,1797.00
IT-5168,ORD-2060,AB-1030,5,999.00,4995.00
IT-5026,ORD-2010,AB-1022,3,1299.00,3897.00
IT-5049,ORD-2019,AB-1027,4,1299.00,5196.00
IT-5196,ORD-2069,AB-1027,3,449.00,1347.00
IT-5195,ORD-2069,AB-1028,4,1299.00,5196.00
IT-5018,ORD-2007,AB-1017,3,599.00,1797.00
IT-5056,ORD-2021,AB-1020,5,599.00,2995.00
IT-5114,ORD-2042,AB-1020,2,999.00,1998.00
IT-5002,ORD-2001,AB-1011,5,249.00,1245.00
IT-5069,ORD-2026,AB-1006,3,599.00,1797.00
IT-5278,ORD-2099,AB-1031,1,999.00,999.00
IT-5237,ORD-2083,AB-1019,3,349.00,1047.00
IT-5086,ORD-2033,AB-1032,2,1299.00,2598.00
IT-5146,ORD-2052,AB-1023,1,999.00,999.00
IT-5076,ORD-2028,AB-1002,5,449.00,2245.00
IT-5225,ORD-2079,AB-1029,1,199.00,199.00
IT-5046,ORD-2018,AB-1014,2,599.00,1198.00
IT-5144,ORD-2051,AB-1014,4,1299.00,5196.00
IT-5028,ORD-2010,AB-1015,1,449.00,449.00
IT-5112,ORD-8888,AB-1005,4,799.00,3196.00
IT-5280,ORD-2099,AB-1023,1,799.00,799.00
IT-5258,ORD-2090,AB-1019,1,349.00,349.00
IT-5177,ORD-2063,AB-1004,5,799.00,3995.00
IT-5153,ORD-2055,AB-1009,5,599.00,2995.00
IT-5003,ORD-2002,AB-1020,1,199.00,199.00
IT-5167,ORD-2060,AB-1025,5,599.00,2995.00
IT-5162,ORD-2058,AB-1030,1,199.00,199.00
IT-5091,ORD-2034,AB-1021,4,999.00,3996.00
IT-5122,ORD-2044,AB-1020,4,199.00,796.00
IT-5261,ORD-2091,AB-1029,3,199.00,597.00
IT-5064,ORD-2024,AB-1028,4,249.00,996.00
IT-5118,ORD-2043,AB-1018,1,199.00,199.00
IT-5025,ORD-2009,AB-1024,4,799.00,3196.00
IT-5272,ORD-2095,AB-1016,4,1299.00,5196.00
IT-5233,ORD-2082,AB-1024,3,599.00,1797.00
IT-5074,ORD-2027,AB-1014,3,349.00,1047.00
IT-5186,ORD-2066,AB-1020,3,799.00,2397.00
IT-5154,ORD-2056,AB-1008,1,349.00,349.00
IT-5181,ORD-2064,AB-1010,4,449.00,1796.00
IT-5150,ORD-2054,AB-1014,1,449.00,449.00
IT-5079,ORD-2030,AB-1030,1,349.00,349.00
IT-5050,ORD-2020,AB-1003,2,599.00,1198.00
IT-5264,ORD-2092,AB-1024,2,199.00,398.00
IT-5234,ORD-2082,AB-1025,4,799.00,3196.00
IT-5013,ORD-2005,AB-1018,3,449.00,1347.00
IT-5169,ORD-2060,AB-1007,1,449.00,449.00
IT-5191,ORD-2067,AB-1022,2,799.00,1598.00
IT-5251,ORD-2088,AB-1019,4,449.00,1796.00
IT-5035,ORD-2013,AB-1009,4,249.00,996.00
IT-5136,ORD-2049,AB-1020,4,249.00,996.00
IT-5060,ORD-2022,AB-1028,3,599.00,1797.00
IT-5031,ORD-2011,AB-1019,1,449.00,449.00
IT-5132,ORD-2048,AB-1017,5,999.00,4995.00
IT-5279,ORD-2099,AB-1024,3,199.00,597.00
IT-5072,ORD-2026,AB-1027,1,449.00,449.00
IT-5066,ORD-2025,AB-1021,1,349.00,349.00
IT-5048,ORD-2019,AB-1005,2,199.00,398.00
IT-5098,ORD-2036,AB-1006,3,999.00,2997.00
IT-5223,ORD-2078,AB-1020,3,199.00,597.00
IT-5240,ORD-2084,AB-1006,3,999.00,2997.00
IT-5246,ORD-2086,AB-1019,1,199.00,199.00
IT-5126,ORD-2046,AB-1011,3,1299.00,3897.00
IT-5094,ORD-2035,AB-1007,4,249.00,996.00
IT-5235,ORD-2082,AB-1004,3,249.00,747.00
IT-5092,ORD-2035,AB-1010,4,199.00,796.00
IT-5194,ORD-2068,AB-1004,1,599.00,599.00
IT-5217,ORD-2076,AB-1016,1,349.00,349.00
IT-5037,ORD-2013,AB-1031,2 ks,1299.00,5196.00
IT-5088,ORD-2034,AB-1030,3,449.00,1347.00
IT-5053,ORD-2021,AB-1008,5,449.00,2245.00
IT-5119,ORD-2043,AB-1032,3,449.00,1347.00
IT-5245,ORD-2085,AB-1015,2,349.00,698.00
IT-5198,ORD-2069,AB-1008,3,1299.00,3897.00
IT-5113,ORD-2041,AB-1020,4,599.00,2396.00
IT-5268,ORD-2094,AB-1001,1,199.00,199.00
IT-5016,ORD-2007,AB-1032,3,349.00,1047.00
IT-5207,ORD-2073,AB-1005,3,999.00,2997.00
IT-5117,ORD-2042,AB-1019,3,199.00,597.00
IT-5254,ORD-2089,AB-1019,4,999.00,3996.00
IT-5104,ORD-2039,AB-1019,3,799.00,2397.00
IT-5276,ORD-2098,AB-1027,2,249.00,498.00
IT-5124,ORD-2045,AB-1021,4,349.00,1396.00
IT-5171,ORD-2061,AB-1022,4,999.00,3996.00
IT-5075,ORD-2027,AB-1019,4,1299.00,5196.00
IT-5140,ORD-2050,AB-1025,4,799.00,3196.00
IT-5281,ORD-2099,AB-1016,1,799.00,799.00
IT-5159,ORD-2058,AB-1024,5,249.00,1245.00
IT-5107,ORD-2040,AB-1006,5,999.00,4995.00
IT-5231,ORD-2081,AB-1012,1,449.00,449.00
IT-5054,ORD-2021,AB-1010,3,349.00,1047.00
IT-5068,ORD-2025,AB-1019,4,199.00,796.00
IT-5212,ORD-2074,AB-1016,4,999.00,3996.00
IT-5012,ORD-2005,AB-1031,4,999.00,3996.00
IT-5179,ORD-2064,AB-1004,3,599.00,1797.00
IT-5008,ORD-2003,AB-1024,1,799.00,799.00
IT-5011,ORD-2005,AB-1028,2,599.00,1198.00
IT-5145,ORD-2052,AB-1024,1,799.00,799.00
IT-5087,ORD-2033,AB-1031,3,799.00,2397.00
IT-5155,ORD-2056,AB-1001,3,449.00,1347.00
IT-5160,ORD-2058,AB-1029,5,449.00,2245.00
IT-5166,ORD-2059,AB-1005,2,599.00,1198.00
IT-5189,ORD-2067,AB-1006,5,449.00,2245.00
IT-5277,ORD-2098,AB-1024,1,199.00,199.00
IT-5152,ORD-2055,AB-1001,3,349.00,1047.00
IT-5044,ORD-2017,AB-1020,5,999.00,4995.00
IT-5208,ORD-2073,AB-1026,4,599.00,2396.00
IT-5193,ORD-2068,AB-1004,2,349.00,698.00
IT-5024,ORD-2009,AB-1026,-1,599.00,1198.00
IT-5137,ORD-2049,AB-1009,1,199.00,199.00
IT-5158,ORD-2057,AB-1008,1,1299.00,1299.00
IT-5188,ORD-2067,AB-1005,2,199.00,398.00
IT-5283,ORD-2100,AB-1012,4,1299.00,5196.00
IT-5201,ORD-2070,AB-1020,2,349.00,698.00
IT-5071,ORD-2026,AB-1001,5,1299.00,6495.00
IT-5275,ORD-2097,AB-1001,5,799.00,3995.00
IT-5163,ORD-2059,AB-1026,4,249.00,996.00
IT-5051,ORD-2020,AB-1019,4,249.00,996.00
IT-5065,ORD-2025,AB-1023,4,799.00,3196.00
IT-5021,ORD-2008,AB-1032,5,449.00,2245.00
IT-5073,ORD-2027,AB-1032,4,199.00,796.00
IT-5190,ORD-2067,AB-1025,4,1299.00,5196.00
IT-5202,ORD-2071,AB-1019,3,249.00,747.00
IT-5242,ORD-2085,AB-1024,1,799.00,799.00
IT-5250,ORD-2088,AB-1024,2,1299.00,2598.00
IT-5083,ORD-2031,AB-1028 ,2,349.00,698.00
IT-5042,ORD-2016,AB-1016,1,999.00,999.00
IT-5043,ORD-2017,AB-1025,4,1299.00,5196.00
IT-5078,ORD-2029,AB-1027,1,449.00,549.00
IT-5040,ORD-2014,AB-1026,4,249.00,996.00
IT-5236,ORD-2083,AB-1007,5,999.00,4995.00
IT-5241,ORD-2084,AB-1022,2,249.00,498.00
IT-5015,ORD-2007,AB-1025,3,199.00,597.00
IT-5129,ORD-2047,AB-1026,5,799.00,3995.00
IT-5111,ORD-2041,AB-1019,5,349.00,1745.00
IT-5226,ORD-2079,AB-1024,3,249.00,747.00
IT-5047,ORD-2018,AB-1006,2,449.00,898.00
IT-5151,ORD-2054,AB-1014,2,799.00,1598.00
IT-5247,ORD-2087,AB-1009,5,999.00,4995.00
IT-5227,ORD-2080,AB-1025,4,199.00,796.00
IT-5200,ORD-2070,AB-1004,1,449.00,449.00
IT-5210,ORD-2073,AB-1021,2,1299.00,2598.00
IT-5262,ORD-2092,AB-1004,4,799.00,3196.00
IT-5133,ORD-2048,AB-1024,1,449.00,449.00
IT-5175,ORD-2062,AB-1006,1,249.00,249.00
IT-5255,ORD-2089,AB-1011,2,349.00,698.00
IT-5116,ORD-2042,AB-1025,5,799.00,3995.00
IT-5213,ORD-2074,AB-1006,4,599.00,2396.00
IT-5165,ORD-2059,AB-1006,3,349.00,1047.00
IT-5082,ORD-2031,AB-1016,4,349.00,1396.00
IT-5033,ORD-2012,AB-1020,1,349.00,349.00
IT-5019,ORD-2008,AB-1001,5,449.00,2245.00
IT-5148,ORD-2053,AB-1006,2,199.00,398.00
IT-5211,ORD-2074,AB-1006,4,249.00,996.00
IT-5105,ORD-2039,AB-1028,2,449.00,898.00
IT-5197,ORD-2069,AB-1008,3,999.00,2997.00
IT-5106,ORD-2040,AB-1012,2,349.00,698.00
IT-5273,ORD-2096,AB-1008,4,199.00,796.00
IT-5123,ORD-2045,AB-1009,1,599.00,599.00
IT-5185,ORD-2066,AB-1002,2,599.00,1198.00
IT-5184,ORD-2066,AB-1002,5,599.00,2995.00
IT-5102,ORD-2039,AB-1011,3,199.00,597.00
IT-5080,ORD-2031,AB-1019,5,599.00,2995.00
IT-5017,ORD-2007,AB-1032,2,799.00,1598.00
IT-5023,ORD-2009,AB-1006,3,449.00,1347.00
IT-5157,ORD-2057,AB-1004,2,999.00,1998.00
IT-5257,ORD-2089,AB-1024,5,249.00,1245.00
IT-5263,ORD-2092,AB-1016,4,249.00,996.00
IT-5206,ORD-2072,AB-1003,4,199.00,796.00
IT-5120,ORD-2043,ZZ-0001,2,449.00,898.00
IT-5095,ORD-2035,AB_1012,1,349.00,349.00
IT-5269,ORD-2094,AB-1017,2,349.00,698.00
IT-5142,ORD-2051,AB-1032,5,999.00,4995.00
IT-5244,ORD-2085,AB-1022,4,449.00,1796.00
IT-5007,ORD-2003,AB-1003,3,999.00,2997.00
IT-5127,ORD-2046,AB-1019,3,249.00,747.00
IT-5239,ORD-2084,AB-1020,4,349.00,1396.00
IT-5274,ORD-2097,AB-1010,3,999.00,2997.00
IT-5036,ORD-2013,AB-1001,5,599.00,2995.00
IT-5203,ORD-2071,AB-1001,4,999.00,3996.00
IT-5052,ORD-2020,AB-1015,3,449.00,1347.00
IT-5032,ORD-2012,AB-1015,3,349.00,1047.00
IT-5058,ORD-2022,AB-1026,3,1299.00,3897.00
IT-5131,ORD-2048,AB-1008,4,799.00,3196.00
IT-5093,ORD-2035,AB-1009,5,799.00,3995.00
IT-5033,ORD-2012,AB-1020,1,349.00,349.00
IT-5260,ORD-2091,AB-1028,1,449.00,449.00
IT-5259,ORD-2091,AB-1029,5,349.00,1745.00
IT-5180,ORD-2064,AB-1023,1,449.00,449.00
IT-5238,ORD-2083,AB-1022,1,349.00,349.00
IT-5182,ORD-2064,AB-1007,3,799.00,2397.00
IT-5183,ORD-2065,AB-1018,5,449.00,2245.00
IT-5041,ORD-2015,AB-1010,2,"1 299,00",1198.00
IT-5218,ORD-2076,AB-1017,2,349.00,698.00
IT-5077,ORD-2029,AB-1020,5,199.00,995.00
IT-5271,ORD-2094,AB-1016,3,249.00,747.00
IT-5149,ORD-2053,AB-1004,3,449.00,1347.00
IT-5034,ORD-2012,AB-1018,1,199.00,199.00
IT-5178,ORD-2063,AB-1008,4,799.00,3196.00
IT-5164,ORD-2059,AB-1032,4,249.00,996.00
IT-5045,ORD-2018,AB-1004,5,249.00,1245.00
IT-5228,ORD-2081,AB-1013,3,1299.00,3897.00
IT-5089,ORD-2034,AB-1016,5,999.00,4995.00
IT-5232,ORD-2082,AB-1029,5,349.00,1745.00
IT-5038,ORD-2014,AB-1012,1,599.00,599.00
IT-5070,ORD-2026,ab-1024,1,999.00,999.00
IT-5063,ORD-2024,AB-1029,3,349.00,1047.00
IT-5103,ORD-2039,AB-1003,3,199.00,597.00
IT-5252,ORD-2088,AB-1016,3,1299.00,3897.00
IT-5147,ORD-2053,AB-1013,1,1299.00,1299.00
IT-5110,ORD-2041,AB-1017,1,1299.00,1299.00
IT-5229,ORD-2081,AB-1010,1,1299.00,1299.00
IT-5134,ORD-2049,AB-1002,5,799.00,3995.00
IT-5135,ORD-2049,AB-1015,1,1299.00,1299.00
IT-5061,ORD-2023,AB-1006,2,199.00,398.00
IT-5199,ORD-2070,AB-1003,2,999.00,1998.00
IT-5266,ORD-2093,AB-1009,1,599.00,599.00
IT-5256,ORD-2089,AB-1017,1,1299.00,1299.00
IT-5096,ORD-2036,AB-1010,1,1299.00,1299.00
IT-5014,ORD-2006,AB-1018,4,449.00,1796.00
IT-5059,ORD-2022,AB-1029,1,199.00,199.00
IT-5128,ORD-2046,AB-1030,1,349.00,349.00
IT-5143,ORD-2051,AB-1018,1,799.00,799.00
IT-5161,ORD-2058,AB-1003,5,599.00,2995.00
IT-5204,ORD-2071,AB-1012,2,999.00,1998.00
