order_id,customer_id,order_date,status,currency,total_amount
ORD-2090,21,2025-01-27,paid,CZK,349.00
ORD-2072,45,2025-01-31,paid,CZK,1795.00
ORD-2076,27,2024-08-03,completed,CZK,1047.00
ORD-2074,22,2025-02-25,pending,CZK,7388.00
ORD-2067,18,2024-09-05,completed,CZK,9437.00
ORD-2064,29,2025-05-05,paid,CZK,6439.00
ORD-2100,43,2025-05-03,paid,CZK,7593.00
ORD-2044,44,2025-04-01,paid,CZK,796.00
ORD-2050,999,2024-06-03,paid,CZK,5190.00
ORD-2057,15,2025-03-15,paid,CZK,4495.00
ORD-2052,30,2024-03-19,completed,CZK,1798.00
ORD-2056,49,2024-01-10,paid,CZK,1696.00
ORD-2048,6,2024-12-13,paid,CZK,8640.00
ORD-2016,15,2025-04-30,paid,CZK,999.00
ORD-2035,21,2025-02-26,completed,CZK,6136.00
ORD-2043,30,2024-11-29,completed,CZK,2942.00
ORD-2007,43,2024-09-16,paid,CZK,5039.00
ORD-2046,43,2024-06-26,paid,CZK,4993.00
ORD-2037,27,2024-07-19,cancelled,CZK,0.00
ORD-2025,3,2024-10-02,paid,CZK,9537.00
ORD-2095,23,2024-02-27,paid,CZK,5196.00
ORD-2033,43,2024-11-21,paid,CZK,6792.00
ORD-2061,888,2024-11-24,completed,CZK,8590.00
ORD-2070,35,2024-11-27,paid,CZK,3145.00
ORD-2051,31,2024-09-11,pending,CZK,11986.00
ORD-2066,32,2025-06-21,cancelled,CZK,7288.00
ORD-2040,26,2024-11-08,pending,CZK,9485.00
ORD-2041,20,2024-01-05,paid,CZK,5440.00
ORD-2097,49,2024-02-15,paid,CZK,6992.00
ORD-2093,6,2024-09-19,completed,CZK,3197.00
ORD-2006,23,2024-02-14,paid,CZK,1796.00
ORD-2026,23,2025-03-24,cancelled,CZK,9740.00
ORD-2038,44,2025-01-27,cancelled,CZK,249.00
ORD-2005,20,2024-02-16,paid,CZK,6541.00
ORD-2059,8,2024-09-16,completed,CZK,4237.00
ORD-2092,18,2025-01-27,completed,CZK,5389.00
ORD-2009,40,2025-02-24,cancelled,CZK,4740.00
ORD-2018,15,2024-08-25,paid,CZK,3341.00
ORD-2024,12,2024-09-28,pending,CZK,4641.00
ORD-2081,32,2024-08-17,paid,CZK,6392.00
